"game","row","col","date","day","month","year","order","player1","player2","player3"
82,5,1,"2004-12-23","23","12","2004",2,"Ayers_Jessica","Thompson_Aaron","Price_Hugh"
82,5,4,"2004-12-23","23","12","2004",3,"Ayers_Jessica","Thompson_Aaron","Price_Hugh"
83,4,2,"1987-11-10","10","11","1987",1,"Galvin_Michael","Hughes_Frank","Cordray_Richard"
83,2,3,"1987-11-10","10","11","1987",2,"Galvin_Michael","Hughes_Frank","Cordray_Richard"
83,4,2,"1987-11-10","10","11","1987",3,"Galvin_Michael","Hughes_Frank","Cordray_Richard"
84,2,6,"1987-11-12","12","11","1987",1,"Sevilla_Zeke","Walker_Keith","Verini_Bob"
84,3,5,"1987-11-12","12","11","1987",2,"Sevilla_Zeke","Walker_Keith","Verini_Bob"
84,4,3,"1987-11-12","12","11","1987",3,"Sevilla_Zeke","Walker_Keith","Verini_Bob"
85,4,5,"1987-11-11","11","11","1987",1,"Fellows_Jonathan","Bell_Keith","Finerman_Eugene"
85,4,6,"1987-11-11","11","11","1987",2,"Fellows_Jonathan","Bell_Keith","Finerman_Eugene"
86,5,3,"1998-01-02","02","01","1998",1,"Shambaugh_Cathy","Swanson_Eric","Unterborn_Bill"
86,4,1,"1998-01-02","02","01","1998",2,"Shambaugh_Cathy","Swanson_Eric","Unterborn_Bill"
86,4,5,"1998-01-02","02","01","1998",3,"Shambaugh_Cathy","Swanson_Eric","Unterborn_Bill"
87,3,4,"2004-12-24","24","12","2004",1,"Ewen_Catherine","Boyer_Paul","Thompson_Aaron"
87,4,2,"2004-12-24","24","12","2004",2,"Ewen_Catherine","Boyer_Paul","Thompson_Aaron"
87,4,3,"2004-12-24","24","12","2004",3,"Ewen_Catherine","Boyer_Paul","Thompson_Aaron"
88,4,5,"1998-04-06","06","04","1998",1,"Hennessey_Kathleen","Mcnamara_Stephen","Healy_Pat"
88,3,2,"1998-04-06","06","04","1998",2,"Hennessey_Kathleen","Mcnamara_Stephen","Healy_Pat"
88,5,4,"1998-04-06","06","04","1998",3,"Hennessey_Kathleen","Mcnamara_Stephen","Healy_Pat"
89,4,3,"2004-12-27","27","12","2004",1,"Gibbs_David","Mastrodonato_Christian","Thompson_Aaron"
